# Example derating rules, for testing: limits of the kind derating standards
# (such as ECSS-Q-ST-30-11) give, not taken from one. Check the limits against
# the standard of your project before using them.
#
# A component takes the most specific rule that matches its class, its tags
# and the rating: the one with the most tags, then one for its class, then one
# for the rating. Limits are percentages of the rating.
class, tags,  rating, limit, note
*,     ,      *,      80,    everything else
R,     ,      pmax,   60,    resistor power
R,     thick, pmax,   50,    thick film resistor power
R,     ,      vmax,   80,    resistor voltage
C,     cer,   vmax,   60,    ceramic capacitor voltage
C,     tant,  vmax,   50,    tantalum capacitor voltage
C,     alu,   vmax,   80,    aluminium electrolytic voltage
L,     ,      imax,   80,    inductor current
D,     ,      vmax,   75,    diode reverse voltage
D,     ,      imax,   75,    diode forward current
Q,     ,      vmax,   75,    transistor VCE or VDS
Q,     ,      pmax,   50,    transistor power
Q,     ,      vgsmax, 75,    gate voltage
Q,     ,      vcbmax, 75,    collector-base voltage
Q,     ,      vebmax, 75,    emitter-base voltage
U,     ,      vmax,   90,    IC supply voltage
J,     ,      imax,   75,    connector current
